region,time,tech
IN,0,1.0
PK,0,0.7
BD,0,0.5
NP,0,0.3
LK,0,0.4
IN,1,0.8089841422124485
PK,1,0.6450097549178424
BD,1,0.5356934967214384
NP,1,0.42637723852503434
LK,1,0.4810353676232364
IN,2,0.7043160452136602
PK,2,0.6146907129181887
BD,2,0.5549404913878743
NP,2,0.49519026985755993
LK,2,0.5250653806227171
IN,3,0.646844281183052
PK,3,0.5978567513523005
BD,3,0.5651983981317996
NP,3,0.5325400449112988
LK,3,0.5488692215215493
IN,4,0.6151694118962574
PK,4,0.588393744599345
BD,4,0.5705432997347368
NP,4,0.5526928548701285
LK,4,0.5616180773024327
IN,5,0.5975949045201715
PK,5,0.5829598257221201
BD,5,0.5732031065234192
NP,5,0.5634463873247182
LK,5,0.5683247469240688
IN,6,0.5877276527769842
PK,6,0.5797283925139217
BD,6,0.5743955523385467
NP,6,0.5690627121631717
LK,6,0.5717291322508592
IN,7,0.5820733041223682
PK,7,0.5777010581208823
BD,7,0.5747862274532252
NP,7,0.5718713967855679
LK,7,0.5733288121193965
IN,8,0.5787219105701442
PK,8,0.576332122706161
BD,8,0.5747389307968389
NP,8,0.5731457388875169
LK,8,0.5739423348421778
IN,9,0.5766295300232239
PK,9,0.5753233166873548
BD,9,0.5744525077967755
NP,9,0.5735816989061961
LK,9,0.5740171033514857
IN,10,0.5752255630016384
PK,10,0.5745116112302211
BD,10,0.5740356433826097
NP,10,0.5735596755349981
LK,10,0.5737976594588039
IN,11,0.5741981302444208
PK,11,0.5738078975635006
BD,11,0.5735477424428873
NP,11,0.5732875873222738
LK,11,0.5734176648825805
IN,12,0.5733767641221705
PK,12,0.5731634702396498
BD,12,0.5730212743179693
NP,12,0.5728790783962888
LK,12,0.5729501763571291
IN,13,0.5726682899578883
PK,13,0.5725517075122216
BD,13,0.5724739858817771
NP,13,0.5723962642513327
LK,13,0.5724351250665549
IN,14,0.5720217799565427
PK,14,0.5719580581728843
BD,14,0.5719155769837787
NP,14,0.5718730957946732
LK,14,0.5718943363892259
IN,15,0.5714093976786475
PK,15,0.5713745685438718
BD,15,0.5713513491206881
NP,15,0.5713281296975043
LK,15,0.5713397394090961
IN,16,0.5708159279879009
PK,16,0.5707968910344514
BD,16,0.5707841997321518
NP,16,0.5707715084298521
LK,16,0.5707778540810019
IN,17,0.5702330543164484
PK,17,0.5702226490738558
BD,17,0.5702157122454605
NP,17,0.5702087754170654
LK,17,0.5702122438312629
IN,18,0.5696562307251428
PK,18,0.5696505434142135
BD,18,0.569646751873594
NP,18,0.5696429603329743
LK,18,0.5696448561032842
IN,19,0.569082972230202
PK,19,0.569079863652452
BD,19,0.5690777912672853
NP,19,0.5690757188821186
LK,19,0.569076755074702
IN,20,0.5685119203277462
PK,20,0.5685102212373065
BD,20,0.5685090885103468
NP,20,0.5685079557833869
LK,20,0.5685085221468669
