region,time,tech
IN,0,1.0
PK,0,0.7
BD,0,0.5
NP,0,0.3
LK,0,0.4
IN,1,0.8339841422124484
PK,1,0.6625097549178424
BD,1,0.5481934967214384
NP,1,0.43387723852503435
LK,1,0.4910353676232364
IN,2,0.7453902523242826
PK,2,0.6473787006640807
BD,2,0.582037666223946
NP,2,0.5166966317838115
LK,2,0.5493671490038788
IN,3,0.7012004548407247
PK,3,0.6451788856116355
BD,3,0.6078311727922429
NP,3,0.5704834599728501
LK,3,0.5891573163825464
IN,4,0.6825459773180018
PK,4,0.6505250964552004
BD,4,0.6291778425466662
NP,4,0.607830588638132
LK,4,0.618504215592399
IN,5,0.6786454969594399
PK,5,0.6603429605374984
BD,5,0.6481412695895373
NP,5,0.6359395786415765
LK,5,0.6420404241155568
IN,6,0.6833404150267893
PK,6,0.6728790276304906
BD,6,0.6659047693662914
NP,6,0.6589305111020922
LK,6,0.6624176402341918
IN,7,0.6931144866549136
PK,7,0.6871349533414741
BD,7,0.6831485977991811
NP,7,0.6791622422568881
LK,7,0.6811554200280346
IN,8,0.7059618804955566
PK,8,0.702544091124791
BD,8,0.7002655648776138
NP,8,0.6979870386304367
LK,8,0.6991263017540252
IN,9,0.7207401850307059
PK,9,0.718786640569859
BD,9,0.7174842775959611
NP,9,0.7161819146220633
LK,9,0.7168330961090121
IN,10,0.736800601383263
PK,10,0.7356839919183414
BD,10,0.7349395856083937
NP,10,0.7341951792984458
LK,10,0.7345673824534198
IN,11,0.7537765707988254
PK,11,0.7531383377193427
BD,11,0.7527128489996876
NP,11,0.7522873602800325
LK,11,0.7525001046398601
IN,12,0.7714629604777762
PK,12,0.7710981583902581
BD,12,0.7708549569985794
NP,12,0.7706117556069005
LK,12,0.77073335630274
IN,13,0.789747010923968
PK,13,0.7895384968758314
BD,13,0.7893994875104071
NP,13,0.7892604781449827
LK,13,0.789329982827695
IN,14,0.8085688692670852
PK,14,0.8084496865382633
BD,14,0.8083702313857155
NP,14,0.8082907762331676
LK,14,0.8083305038094416
IN,15,0.82789903343466
PK,15,0.8278309108166575
BD,15,0.8277854957379889
NP,15,0.8277400806593204
LK,15,0.8277627881986547
IN,16,0.8477254623114434
PK,16,0.8476865246975005
BD,16,0.847660566288205
NP,16,0.8476346078789097
LK,16,0.8476475870835574
IN,17,0.8680462108598727
PK,17,0.8680239548482275
BD,17,0.8680091175071305
NP,17,0.8679942801660337
LK,17,0.8680016988365822
IN,18,0.8888652232700306
PK,18,0.8888525021501623
BD,18,0.8888440214035833
NP,18,0.8888355406570045
LK,18,0.888839781030294
IN,19,0.9101899312468319
PK,19,0.9101826600927149
BD,19,0.9101778126566369
NP,19,0.9101729652205588
LK,19,0.9101753889385978
IN,20,0.9320298841481337
PK,20,0.9320257280924765
BD,20,0.9320229573887052
NP,20,0.9320201866849336
LK,20,0.9320215720368193
